connectivity,integration_hh_t
429.0,7.4941
473.0,8.491
630.0,9.0937
425.0,8.3142
145.0,6.2161
371.0,7.002
180.0,6.4813
247.0,5.4384
350.0,7.2047
523.0,9.5489
430.0,9.4335
468.0,8.2069
373.0,7.0422
491.0,8.1718
540.0,8.2742
530.0,8.7374
525.0,9.3006
524.0,10.2746
296.0,7.6578
596.0,8.9795
577.0,8.5079
566.0,9.9242
452.0,7.5534
447.0,6.8758
376.0,7.651
444.0,7.0712
444.0,8.8728
409.0,7.3028
558.0,8.9468
473.0,8.2384
574.0,9.93
410.0,7.797
393.0,7.7268
381.0,6.9341
341.0,7.5401
434.0,7.8468
305.0,8.2109
594.0,9.0506
281.0,8.6668
611.0,9.0553
132.0,5.9718
155.0,5.9843
349.0,7.1567
429.0,8.3304
166.0,6.6572
344.0,9.1911
473.0,7.5269
507.0,8.2622
469.0,7.1776
321.0,5.8023
267.0,7.7512
317.0,7.4164
470.0,7.0654
258.0,8.441
378.0,7.0134
333.0,7.706
494.0,9.7717
364.0,6.5256
605.0,9.1227
612.0,10.6112
399.0,7.7722
430.0,7.4908
422.0,7.8147
638.0,9.1324
537.0,7.4324
511.0,9.2356
515.0,8.6668
623.0,9.1082
429.0,7.1388
466.0,7.1776
474.0,8.4244
303.0,9.0363
192.0,8.2662
525.0,8.6233
315.0,6.7888
560.0,8.782
595.0,9.2108
273.0,6.7488
609.0,10.2318
600.0,8.9984
425.0,6.9792
111.0,6.2432
617.0,9.0841
572.0,7.8076
651.0,10.7575
271.0,6.6136
390.0,7.0538
462.0,8.2622
490.0,8.4079
159.0,6.2229
451.0,7.6853
432.0,6.9679
585.0,9.1616
515.0,7.6647
694.0,12.3517
378.0,7.6306
432.0,7.829
365.0,6.0818
536.0,7.4292
657.0,9.2256
573.0,10.1172
560.0,9.6184
440.0,8.3223
463.0,8.0454
196.0,7.2811
523.0,7.6922
349.0,9.64
276.0,6.6572
555.0,7.7025
274.0,5.8617
551.0,9.7996
423.0,8.3102
488.0,7.9229
574.0,9.9645
190.0,6.5182
483.0,8.491
483.0,9.3922
349.0,9.1178
542.0,8.5502
254.0,6.1515
535.0,9.4076
415.0,7.3466
545.0,7.4518
472.0,7.9375
428.0,7.8254
324.0,6.3659
495.0,9.822
428.0,6.9566
523.0,7.3591
572.0,10.0934
214.0,4.9082
371.0,7.6647
434.0,8.2782
469.0,7.1927
313.0,6.1537
475.0,7.2229
272.0,9.1665
532.0,7.4068
415.0,7.1806
383.0,5.6644
312.0,7.1211
229.0,8.3997
727.0,11.6478
433.0,7.0393
282.0,5.0437
377.0,7.275
590.0,8.9004
509.0,7.3434
551.0,7.6103
445.0,6.8786
488.0,7.6922
183.0,7.7547
420.0,8.2861
125.0,5.8259
533.0,9.7329
337.0,6.0221
397.0,7.3466
601.0,10.2135
567.0,9.6563
425.0,8.3547
422.0,7.468
527.0,7.3972
540.0,7.4453
254.0,6.7435
556.0,9.8502
475.0,7.2108
387.0,9.7164
381.0,7.7793
220.0,6.4063
512.0,8.2345
409.0,8.2266
541.0,8.6975
309.0,5.9203
524.0,9.744
333.0,6.5655
567.0,7.7828
549.0,9.3157
555.0,9.2207
484.0,8.4451
519.0,8.3628
493.0,8.3102
678.0,11.4612
466.0,9.8729
430.0,8.3304
367.0,6.1186
579.0,9.3157
290.0,5.9656
465.0,7.1806
256.0,5.6328
404.0,8.1215
468.0,9.744
612.0,9.1616
481.0,7.6681
211.0,7.3403
443.0,7.2017
113.0,5.7402
375.0,5.6384
393.0,6.9679
449.0,7.0858
544.0,8.5716
455.0,7.5634
490.0,7.6991
608.0,9.3056
280.0,5.3686
583.0,8.593
475.0,9.2705
383.0,7.3434
403.0,8.1215
276.0,7.993
473.0,8.8181
659.0,10.7507
541.0,7.4453
487.0,9.4076
577.0,9.2855
528.0,7.4036
466.0,8.9235
350.0,5.7096
521.0,7.6818
124.0,5.3922
554.0,7.7025
625.0,11.1631
445.0,8.9842
535.0,10.3178
511.0,8.3344
276.0,8.0041
451.0,7.2412
498.0,7.7407
367.0,6.9313
470.0,8.3751
512.0,7.6544
164.0,7.1957
508.0,7.6442
436.0,7.1597
445.0,8.7063
374.0,8.3263
499.0,7.7303
415.0,8.2424
464.0,8.1952
556.0,8.4785
251.0,7.2443
311.0,6.5756
358.0,9.1714
717.0,11.7354
659.0,10.8733
488.0,7.6922
543.0,7.4485
580.0,9.9819
297.0,8.593
385.0,5.9511
461.0,8.0719
546.0,7.4615
261.0,5.6514
438.0,7.1656
492.0,8.4244
488.0,8.6146
436.0,6.9792
434.0,8.4079
588.0,9.7606
248.0,5.4109
482.0,8.6799
523.0,7.6922
388.0,6.4496
567.0,9.6023
493.0,7.5969
565.0,9.907
514.0,7.6613
232.0,7.5567
250.0,6.5983
343.0,7.7652
