connectivity,integration_hh_t
191.0,6.9606
387.0,9.4912
445.0,10.9631
484.0,11.3994
268.0,9.0494
554.0,11.6308
533.0,12.1365
510.0,12.385
274.0,9.0947
93.0,5.1303
600.0,13.1004
348.0,10.0059
450.0,10.368
442.0,10.2702
313.0,7.3211
525.0,10.9301
556.0,12.0826
457.0,10.9521
312.0,8.525
235.0,6.787
532.0,11.2579
364.0,9.11
351.0,9.7287
269.0,7.028
467.0,10.1175
490.0,11.5936
424.0,9.9238
171.0,6.5423
446.0,10.3091
266.0,8.8941
372.0,9.3046
491.0,11.3164
485.0,11.041
158.0,7.6449
501.0,11.4353
587.0,12.4701
510.0,10.5488
336.0,8.2912
580.0,12.7326
282.0,8.4785
520.0,10.9631
400.0,9.4582
360.0,8.9748
452.0,11.1541
341.0,8.6952
534.0,12.0027
459.0,11.0298
429.0,8.9674
286.0,9.4582
90.0,5.0776
309.0,9.6682
513.0,11.8459
444.0,10.2896
162.0,6.9919
445.0,10.8864
446.0,10.3581
431.0,10.0987
489.0,12.096
381.0,9.45
435.0,9.4664
272.0,6.634
531.0,11.5936
456.0,11.4594
420.0,9.9057
522.0,10.6625
574.0,12.7178
429.0,9.4173
101.0,5.184
457.0,11.1199
192.0,7.7483
461.0,11.1655
131.0,5.4161
411.0,9.7461
395.0,10.7467
195.0,6.5779
159.0,7.5495
154.0,6.4993
92.0,5.1351
408.0,10.7573
301.0,9.6255
308.0,7.2965
577.0,12.3991
536.0,12.1095
271.0,8.9674
514.0,10.5183
343.0,9.4664
322.0,7.7318
477.0,9.2571
465.0,11.0075
571.0,12.6733
450.0,11.1541
422.0,10.0707
359.0,8.3613
192.0,6.9695
478.0,11.293
154.0,7.0099
147.0,6.333
463.0,11.1313
459.0,11.5567
172.0,7.8095
161.0,6.4685
458.0,10.8973
175.0,7.8773
335.0,10.2509
410.0,10.7044
361.0,9.9692
155.0,6.4493
116.0,5.8592
436.0,10.7044
516.0,10.6002
401.0,9.3365
321.0,9.5328
168.0,6.745
179.0,7.8887
275.0,9.1176
417.0,9.8877
508.0,10.9082
578.0,12.4701
454.0,10.6416
280.0,7.0783
496.0,11.6432
570.0,12.5854
429.0,9.7724
443.0,10.2605
437.0,10.0336
238.0,7.6936
437.0,10.4677
500.0,11.4233
524.0,11.9238
423.0,9.9329
492.0,11.7691
405.0,9.5161
420.0,10.6939
422.0,10.4576
433.0,9.9419
562.0,12.2871
431.0,9.7287
458.0,11.1655
288.0,9.3848
514.0,11.8202
167.0,6.8296
438.0,10.9192
423.0,10.9521
493.0,11.5444
319.0,8.5787
314.0,8.9306
375.0,10.0893
59.0,4.0957
463.0,10.8973
137.0,6.2746
434.0,10.0987
460.0,11.0075
464.0,11.086
215.0,7.181
525.0,12.0159
438.0,10.1552
569.0,12.5709
537.0,11.3164
569.0,12.385
185.0,7.3906
395.0,9.8967
146.0,7.1293
425.0,9.7374
276.0,9.1406
603.0,13.132
304.0,9.6
436.0,10.6209
141.0,5.7027
178.0,6.8989
448.0,10.6416
434.0,9.9601
403.0,9.7724
415.0,10.0428
496.0,11.5322
526.0,10.9301
397.0,10.6209
520.0,12.096
562.0,11.8331
391.0,9.3206
455.0,10.8973
252.0,8.1242
306.0,9.6255
175.0,6.5502
540.0,12.2319
450.0,10.8647
434.0,10.2028
570.0,12.096
428.0,9.8076
401.0,9.8609
427.0,9.7461
327.0,7.7099
317.0,8.8652
510.0,12.2595
485.0,11.6932
367.0,9.8698
532.0,12.301
185.0,7.5863
261.0,8.6606
212.0,7.7318
420.0,10.7786
454.0,10.8215
401.0,9.6596
517.0,10.5488
334.0,7.5079
128.0,5.7478
531.0,11.9369
288.0,8.2162
525.0,11.7184
513.0,11.8459
414.0,9.5831
240.0,7.6235
233.0,7.3957
412.0,10.768
480.0,11.34
474.0,9.9784
376.0,9.3365
146.0,6.3552
292.0,9.5161
