col,row,px_left,px_top,px_right,px_bottom,world_x_min,world_x_max,world_y_min,world_y_max,walkable,connectivity,isovist_area_px,isovist_perimeter,integration_hh_t,integration_hh_m,choice_t
53,13,848,208,864,224,1010.0,1090.0,593.0,673.0,1,181,46336.0,156.0,6.8339,0.0158,600.5377
54,13,864,208,880,224,1090.0,1170.0,593.0,673.0,1,194,49664.0,157.0,6.9785,0.0154,808.4031
7,14,112,224,128,240,-2670.0,-2590.0,513.0,593.0,1,415,106240.0,230.0,9.5831,0.0146,210.3867
8,14,128,224,144,240,-2590.0,-2510.0,513.0,593.0,1,429,109824.0,226.0,9.6854,0.0150,195.0481
9,14,144,224,160,240,-2510.0,-2430.0,513.0,593.0,1,430,110080.0,201.0,9.6340,0.0153,137.1716
10,14,160,224,176,240,-2430.0,-2350.0,513.0,593.0,1,426,109056.0,194.0,8.9600,0.0157,113.5900
11,14,176,224,192,240,-2350.0,-2270.0,513.0,593.0,1,430,110080.0,196.0,8.9748,0.0160,114.6716
12,14,192,224,208,240,-2270.0,-2190.0,513.0,593.0,1,435,111360.0,219.0,9.4664,0.0164,190.9192
13,14,208,224,224,240,-2190.0,-2110.0,513.0,593.0,1,452,115712.0,265.0,11.1541,0.0168,474.6428
14,14,224,224,240,240,-2110.0,-2030.0,513.0,593.0,1,459,117504.0,279.0,11.2463,0.0171,470.1466
15,14,240,224,256,240,-2030.0,-1950.0,513.0,593.0,1,473,121088.0,283.0,11.4594,0.0175,494.3496
16,14,256,224,272,240,-1950.0,-1870.0,513.0,593.0,1,485,124160.0,272.0,10.2799,0.0179,380.1928
17,14,272,224,288,240,-1870.0,-1790.0,513.0,593.0,1,501,128256.0,271.0,10.4576,0.0182,428.9715
18,14,288,224,304,240,-1790.0,-1710.0,513.0,593.0,1,519,132864.0,269.0,10.6416,0.0186,484.8755
19,14,304,224,320,240,-1710.0,-1630.0,513.0,593.0,1,522,133632.0,270.0,10.6625,0.0189,497.7254
20,14,320,224,336,240,-1630.0,-1550.0,513.0,593.0,1,511,130816.0,268.0,10.5386,0.0192,430.4602
21,14,336,224,352,240,-1550.0,-1470.0,513.0,593.0,1,508,130048.0,306.0,10.9082,0.0195,477.0127
22,14,352,224,368,240,-1470.0,-1390.0,513.0,593.0,1,528,135168.0,264.0,11.0410,0.0198,596.3656
23,14,368,224,384,240,-1390.0,-1310.0,513.0,593.0,1,526,134656.0,259.0,10.9301,0.0200,565.0584
24,14,384,224,400,240,-1310.0,-1230.0,513.0,593.0,1,540,138240.0,282.0,10.9853,0.0203,632.8222
